post_weekday;posts;avg_likes;avg_comments;avg_views;avg_engagement_rate;avg_discussion_index
segunda;7;6352.857142857143;121.42857142857143;309.75;16.031214828968565;0.027777777777777776
terca;6;24119.666666666668;302.0;828.0;46.19669200129779;0.1037037037037037
quarta;5;11046.8;89.2;753.5;18.48442367601246;0.0
quinta;7;4297.714285714285;102.57142857142857;248.5;13.476589408366374;0.0
sexta;2;12514.5;230.5;711.0;35.84669479606188;0.0
