tipo;posts;num_likes;num_comentarios;visualizacoes;engagement_rate;comments_per_view;qualified_comment_rate;discussion_index;community_index;new_commenter_share
Video;13;15702.23076923077;234.76923076923077;469.7692307692308;21.78770331538632;0.49622678106357515;0.2607473544973545;0.009259259259259259;0.10300925925925926;0.9546296296296296
Sidecar;8;11045.75;127.375;;;;0.4563492063492064;0.031746031746031744;0.12301587301587302;0.9285714285714286
Image;6;1173.3333333333333;36.0;;;;0.35;0.1;0.08333333333333333;0.9444444444444444
